Player1,Player2,Round,Result,FNL1,FNL2,FSP1,FSW1,SSP1,SSW1,ACE1,DBF1,WNR1,UFE1,BPC1,BPW1,NPA1,NPW1,TPW1,FSP2,FSW2,SSP2,SSW2,ACE2,DBF2,WNR2,UFE2,BPC2,BPW2,NPA2,NPW2,TPW2,G
Albert Ramos,Pablo Andujar,1,0,0,3,61,32,39,10,2,3,2,3,3,7,,,77,73,40,27,15,2,1,2,1,7,12,,,97,M
Florian Mayer,Denis Kudla,1,1,3,0,58,36,42,22,6,1,25,23,5,11,11,14,101,59,35,41,18,1,2,31,45,1,3,12,20,78,M
Mikhail Youzhny,Jan-Lennard Struff,1,1,3,0,69,39,31,17,5,2,11,30,7,9,5,8,95,49,24,51,12,2,8,20,61,2,5,15,22,66,M
Guillermo Garcia-Lopez,Tommy Haas,1,1,2,0,58,27,42,11,7,3,19,9,4,4,3,5,65,52,22,48,11,4,7,18,35,1,2,10,10,55,M
Carlos Berlocq,Edouard Roger-Vasselin,1,0,1,3,57,49,43,32,9,4,9,4,4,13,,,150,65,67,35,32,6,6,6,6,7,16,,,163,M
Dominic Thiem,Joao Sousa,1,1,3,1,55,60,45,31,20,3,20,3,5,12,,,148,65,57,35,30,8,0,8,0,3,8,,,133,M
Kevin Anderson,Jiri Vesely,1,1,3,2,63,76,37,28,21,9,21,9,3,14,,,154,57,69,43,43,16,10,16,10,2,6,,,154,M
Ivo Karlovic,Ivan Dodig,1,0,0,3,66,55,34,18,25,1,48,27,1,3,24,50,93,83,68,17,12,8,2,41,7,2,3,24,35,108,M
Jan Hajek,Damir Dzumhur,1,0,0,3,73,31,27,6,2,6,2,6,1,2,,,55,53,31,47,19,4,3,4,3,7,12,,,95,M
Di Wu,Kenny De Schepper,1,0,0,3,60,46,40,29,3,5,33,36,2,13,23,35,125,62,63,38,20,19,13,58,66,4,11,29,44,134,M
Tomas Berdych,Aleksandr Nedovyesov,1,1,3,0,66,39,34,19,9,0,35,17,4,14,13,23,97,61,37,39,17,8,2,22,37,0,2,11,16,67,M
James Duckworth,Roger Federer,1,0,0,3,52,36,48,19,13,3,34,38,0,1,19,34,74,58,40,42,19,11,5,30,17,4,17,18,22,96,M
Radek Stepanek,Blaz Kavcic,1,0,2,2,51,37,49,29,5,11,51,54,4,11,22,32,104,63,43,37,22,10,6,41,27,6,14,6,15,121,M
Teymuraz Gabashvili,Sergiy Stakhovsky,1,1,3,1,58,49,42,24,5,4,5,4,9,17,,,133,55,50,45,21,14,8,14,8,3,6,,,112,M
Fernando Verdasco,Ze Zhang,1,1,3,1,61,59,39,24,20,6,44,40,5,14,7,11,125,58,44,42,25,7,6,20,48,1,5,10,17,101,M
Daniel Brands,Gilles Simon,1,0,2,3,63,109,37,36,41,4,111,81,2,25,29,44,231,56,114,44,57,32,18,75,53,4,10,37,55,230,M
Marin Cilic,Marcel Granollers,1,1,3,2,58,57,42,30,22,4,63,53,5,8,21,31,145,61,64,39,27,13,4,41,34,2,3,20,29,124,M
Thomaz Bellucci,Julian Reister,1,1,2,1,53,39,47,24,8,6,33,37,4,7,18,22,98,60,41,40,16,4,9,21,36,4,8,8,19,93,M
Jo-Wilfried Tsonga,Filippo Volandri,1,1,3,0,62,37,38,23,15,1,36,25,5,13,12,15,104,57,35,43,20,2,6,28,39,1,2,20,31,77,M
Martin Klizan,John Isner,1,1,2,0,54,25,46,21,9,2,27,10,2,5,1,3,71,78,36,22,6,10,0,23,23,0,3,5,10,52,M
Blaz Rola,Federico Delbonis,1,1,3,0,68,57,32,13,6,8,6,8,4,9,,,108,63,38,37,16,4,1,4,1,0,8,,,86,M
Michal Przysiezny,Horacio Zeballos,1,1,3,0,69,48,31,17,15,0,15,0,5,8,,,104,60,43,40,18,11,4,11,4,2,4,,,85,M
Stephane Robert,Aljaz Bedene,1,1,3,0,46,25,54,21,4,2,22,22,9,17,11,12,104,54,40,46,9,16,11,28,52,4,5,6,10,74,M
Somdev Devvarman,Feliciano Lopez,1,0,0,3,52,34,48,28,6,1,6,1,2,7,,,89,65,50,35,18,12,2,12,2,4,7,,,110,M
Michael Berrer,Michael Llodra,1,1,3,0,63,39,37,19,9,6,9,6,5,12,,,95,72,47,28,12,10,5,10,5,0,2,,,74,M
Vincent Millot,Wayne Odesnik,1,1,3,2,57,63,43,34,18,9,54,68,11,26,8,11,173,67,67,33,22,11,2,39,73,7,20,10,17,158,M
Andy Murray,Go Soeda,1,1,3,0,69,33,31,11,12,2,32,13,7,13,4,5,84,61,28,39,6,6,3,23,33,0,0,11,16,49,M
Rhyne Williams,Juan Martin Del Potro,1,0,1,3,57,52,43,25,29,1,55,39,1,2,12,18,107,64,62,36,23,16,3,46,29,4,8,21,28,122,M
Roberto Bautista Agut,Tim Smyczek,1,1,3,0,82,37,18,7,1,1,1,1,8,18,,,95,61,28,39,10,8,5,8,5,1,2,,,55,M
Nick Kyrgios,Benjamin Becker,1,1,3,1,54,60,46,25,34,13,71,52,6,8,5,8,133,53,45,47,31,12,5,38,36,3,7,6,6,114,M
Benoit Paire,Frank Dancevic,1,1,3,0,57,54,43,22,24,6,58,25,3,12,22,35,117,59,47,41,20,12,3,36,14,1,4,15,32,97,M
Bradley Klahn,Grigor Dimitrov,1,0,1,3,58,54,42,28,10,9,10,9,0,0,,,105,57,55,43,30,14,4,14,4,4,8,,,133,M
Jimmy Wang,Yen-Hsun Lu,1,0,0,3,63,32,37,12,1,3,1,3,3,7,,,76,62,33,38,11,9,5,9,5,9,19,,,101,M
Peter Gojowczyk,Victor Hanescu,1,0,0,3,55,44,45,22,8,6,36,59,1,6,5,7,103,66,60,34,23,9,4,24,34,2,6,10,12,121,M
Milos Raonic,Daniel Gimeno-Traver,1,1,3,1,64,56,36,17,21,7,48,29,7,20,21,30,127,56,43,44,25,5,5,22,33,3,6,8,12,96,M
Marinko Matosevic,Kei Nishikori,1,0,2,3,61,69,39,29,14,9,46,63,3,9,16,30,147,66,68,34,25,6,6,44,50,7,15,11,16,167,M
Dusan Lajovic,Lucas Pouille,1,1,3,1,61,53,39,30,7,7,28,57,5,10,8,17,141,61,55,39,22,2,10,41,88,4,8,23,39,126,M
Robin Haase,Donald Young,1,0,1,3,67,56,33,18,11,6,38,56,1,4,13,15,106,73,58,27,16,0,5,34,33,2,7,29,40,124,M
Andreas Seppi,Lleyton Hewitt,1,1,3,2,59,72,41,40,17,5,67,59,7,18,8,11,175,51,76,49,38,23,5,54,61,7,13,23,40,178,M
Ryan Harrison,Gael Monfils,1,0,0,3,62,42,38,17,2,1,19,23,0,0,13,20,76,64,43,36,18,9,5,43,27,3,4,18,22,95,M
Tobias Kamke,Jack Sock,1,0,1,3,49,51,51,36,6,8,6,8,2,12,,,138,50,54,50,43,16,12,16,12,4,10,,,146,M
Thanasi Kokkinakis,Igor Sijsling,1,1,3,1,54,55,46,36,8,9,54,45,3,5,14,23,135,59,56,41,23,20,5,53,47,4,9,23,36,135,M
Rafael Nadal,Bernard Tomic,1,1,1,0,62,14,38,6,5,1,13,5,1,1,5,5,30,71,15,29,3,3,1,13,7,0,0,3,5,24,M
